DATE,DNDGRD3Q086SBEA
1947-01-01,14.517
1947-04-01,14.658
1947-07-01,14.923
1947-10-01,15.375
1948-01-01,15.627
1948-04-01,15.783
1948-07-01,15.937
1948-10-01,15.772
1949-01-01,15.532
1949-04-01,15.332
1949-07-01,15.158
1949-10-01,15.043
1950-01-01,14.947
1950-04-01,15.016
1950-07-01,15.446
1950-10-01,15.801
1951-01-01,16.468
1951-04-01,16.617
1951-07-01,16.582
1951-10-01,16.792
1952-01-01,16.809
1952-04-01,16.746
1952-07-01,16.775
1952-10-01,16.845
1953-01-01,16.772
1953-04-01,16.702
1953-07-01,16.736
1953-10-01,16.731
1954-01-01,16.787
1954-04-01,16.843
1954-07-01,16.776
1954-10-01,16.697
1955-01-01,16.697
1955-04-01,16.649
1955-07-01,16.665
1955-10-01,16.655
1956-01-01,16.695
1956-04-01,16.85
1956-07-01,17.011
1956-10-01,17.063
1957-01-01,17.22
1957-04-01,17.313
1957-07-01,17.497
1957-10-01,17.568
1958-01-01,17.848
1958-04-01,17.883
1958-07-01,17.829
1958-10-01,17.738
1959-01-01,17.792
1959-04-01,17.796
1959-07-01,17.873
1959-10-01,17.939
1960-01-01,17.914
1960-04-01,18.043
1960-07-01,18.097
1960-10-01,18.199
1961-01-01,18.226
1961-04-01,18.099
1961-07-01,18.133
1961-10-01,18.099
1962-01-01,18.169
1962-04-01,18.217
1962-07-01,18.234
1962-10-01,18.329
1963-01-01,18.356
1963-04-01,18.338
1963-07-01,18.472
1963-10-01,18.51
1964-01-01,18.621
1964-04-01,18.617
1964-07-01,18.673
1964-10-01,18.748
1965-01-01,18.804
1965-04-01,18.981
1965-07-01,19.085
1965-10-01,19.129
1966-01-01,19.386
1966-04-01,19.551
1966-07-01,19.689
1966-10-01,19.812
1967-01-01,19.807
1967-04-01,19.838
1967-07-01,20.046
1967-10-01,20.18
1968-01-01,20.388
1968-04-01,20.581
1968-07-01,20.778
1968-10-01,20.995
1969-01-01,21.152
1969-04-01,21.447
1969-07-01,21.747
1969-10-01,21.978
1970-01-01,22.261
1970-04-01,22.48
1970-07-01,22.632
1970-10-01,22.834
1971-01-01,22.872
1971-04-01,23.111
1971-07-01,23.313
1971-10-01,23.46
1972-01-01,23.714
1972-04-01,23.768
1972-07-01,23.979
1972-10-01,24.256
1973-01-01,24.776
1973-04-01,25.525
1973-07-01,26.176
1973-10-01,26.983
1974-01-01,28.377
1974-04-01,29.414
1974-07-01,30.241
1974-10-01,31.095
1975-01-01,31.533
1975-04-01,31.643
1975-07-01,32.346
1975-10-01,32.761
1976-01-01,32.805
1976-04-01,32.804
1976-07-01,33.212
1976-10-01,33.644
1977-01-01,34.259
1977-04-01,34.886
1977-07-01,35.248
1977-10-01,35.66
1978-01-01,36.134
1978-04-01,37.001
1978-07-01,37.608
1978-10-01,38.25
1979-01-01,39.316
1979-04-01,40.651
1979-07-01,41.97
1979-10-01,43.112
1980-01-01,44.777
1980-04-01,45.875
1980-07-01,46.849
1980-10-01,47.86
1981-01-01,49.27
1981-04-01,49.755
1981-07-01,50.145
1981-10-01,50.476
1982-01-01,50.712
1982-04-01,50.71
1982-07-01,51.364
1982-10-01,51.391
1983-01-01,51.246
1983-04-01,51.887
1983-07-01,52.278
1983-10-01,52.255
1984-01-01,52.866
1984-04-01,52.901
1984-07-01,53.021
1984-10-01,53.213
1985-01-01,53.582
1985-04-01,53.911
1985-07-01,54.02
1985-10-01,54.448
1986-01-01,54.177
1986-04-01,52.886
1986-07-01,53.023
1986-10-01,53.138
1987-01-01,54.321
1987-04-01,54.917
1987-07-01,55.438
1987-10-01,55.783
1988-01-01,55.963
1988-04-01,56.525
1988-07-01,57.271
1988-10-01,57.692
1989-01-01,58.482
1989-04-01,60.026
1989-07-01,59.977
1989-10-01,60.258
1990-01-01,61.785
1990-04-01,62.14
1990-07-01,63.447
1990-10-01,65.09
1991-01-01,64.765
1991-04-01,64.871
1991-07-01,64.928
1991-10-01,65.255
1992-01-01,65.367
1992-04-01,65.692
1992-07-01,66.165
1992-10-01,66.358
1993-01-01,66.558
1993-04-01,66.474
1993-07-01,66.198
1993-10-01,66.508
1994-01-01,66.316
1994-04-01,66.458
1994-07-01,67.146
1994-10-01,67.216
1995-01-01,67.197
1995-04-01,67.449
1995-07-01,67.594
1995-10-01,67.699
1996-01-01,68.365
1996-04-01,69.079
1996-07-01,68.976
1996-10-01,69.618
1997-01-01,69.897
1997-04-01,69.686
1997-07-01,69.643
1997-10-01,69.717
1998-01-01,69.16
1998-04-01,69.022
1998-07-01,69.298
1998-10-01,69.405
1999-01-01,69.638
1999-04-01,70.644
1999-07-01,71.402
1999-10-01,72.046
2000-01-01,73.15
2000-04-01,73.79
2000-07-01,74.374
2000-10-01,74.616
2001-01-01,74.818
2001-04-01,75.329
2001-07-01,75.018
2001-10-01,73.948
2002-01-01,73.812
2002-04-01,74.874
2002-07-01,75.082
2002-10-01,75.347
2003-01-01,76.607
2003-04-01,75.424
2003-07-01,76.468
2003-10-01,76.797
2004-01-01,77.839
2004-04-01,78.573
2004-07-01,79.022
2004-10-01,80.417
2005-01-01,80.283
2005-04-01,80.812
2005-07-01,83.303
2005-10-01,83.546
2006-01-01,83.64
2006-04-01,84.865
2006-07-01,85.846
2006-10-01,83.865
2007-01-01,85.03
2007-04-01,86.691
2007-07-01,87.298
2007-10-01,89.144
2008-01-01,90.656
2008-04-01,92.644
2008-07-01,95.087
2008-10-01,89.211
2009-01-01,87.121
2009-04-01,88.65
2009-07-01,90.583
2009-10-01,91.51
2010-01-01,91.933
2010-04-01,91.524
2010-07-01,91.807
2010-10-01,93.45
2011-01-01,95.579
2011-04-01,97.811
2011-07-01,98.366
2011-10-01,98.865
2012-01-01,99.824
2012-04-01,99.624
2012-07-01,99.869
2012-10-01,100.683
2013-01-01,100.642
2013-04-01,99.6
2013-07-01,100.035
2013-10-01,100.05
2014-01-01,100.67
2014-04-01,101.156
2014-07-01,101.035
2014-10-01,99.552
2015-01-01,96.817
2015-04-01,97.595
2015-07-01,97.57
2015-10-01,96.326
2016-01-01,95.046
2016-04-01,95.823
2016-07-01,95.939
2016-10-01,96.617
2017-01-01,97.357
2017-04-01,96.807
2017-07-01,97.387
2017-10-01,98.142
2018-01-01,99.015
2018-04-01,99.507
2018-07-01,99.528
2018-10-01,99.144
2019-01-01,98.568
2019-04-01,99.37
2019-07-01,99.24
2019-10-01,99.624
